Symbol,Name,Price,Exchange
"MDR","McDermott International Inc.",78,"New York Stock Exchange"
"ETSY","ETSY Inc",112.04,"Nasdaq Global Select"
"ANDV","Andeavor",152.35,"New York Stock Exchange"
"TAL","TAL Education Group",75.13,"New York Stock Exchange"
"UNH","UnitedHealth Group Inc",312,"New York Stock Exchange"
"ECA","Encana Corporation",3.79,"New York Stock Exchange"
"GES","Guess? Inc",12.79,"New York Stock Exchange"
"AMZN","Amazon.com Inc",3294.62,"Nasdaq Global Select"
"NFLX","Netflix Inc",516.05,"Nasdaq Global Select"
"ENTG","Entegris Inc",66.54,"Nasdaq Global Select"
"CSX","CSX Corp",75.51,"Nasdaq Global Select"
"WYNN","Wynn Resorts Ltd",87.72,"Nasdaq Global Select"
"FOX","Twenty-First Century Fox Inc.",27.76,"Nasdaq Global Select"
"CNC","Centene Corp",59.67,"New York Stock Exchange"
"ZION","Zions Bancorporation NA",33.68,"Nasdaq Global Select"
"CLDR","Cloudera Inc",11.22,"New York Stock Exchange"
"RES","RPC Inc",3.36,"New York Stock Exchange"
"CI","Cigna Corp",178.61,"New York Stock Exchange"
"KRE","SPDR S&P Regional Banking",39.83,"NYSE Arca"
"WMB","Williams Companies Inc",20.69,"New York Stock Exchange"
"SYNH","Syneos Health Inc",58.97,"Nasdaq Global Select"
"HBI","HanesBrands Inc",15.41,"New York Stock Exchange"
"BBT","BB&T Corporation",54.24,"New York Stock Exchange"
"XL","XL Group Ltd.",57.59,"New York Stock Exchange"
"PAYX","Paychex Inc",76.06,"Nasdaq Global Select"
"CELG","Celgene Corporation",108.24,"Nasdaq Global Select"
"D","Dominion Energy Inc",78.44,"New York Stock Exchange"
"CHS","Chico's FAS Inc",1.22,"New York Stock Exchange"
"CFG","Citizens Financial Group Inc",27.36,"New York Stock Exchange"
"XLI","SPDR Select Sector Fund - Industrial",77.84,"NYSE Arca"
"SU","Suncor Energy Inc",15.52,"New York Stock Exchange"
"SLV","iShares Silver Trust",25.06,"NYSE Arca"
"MMM","3M Co",165.77,"New York Stock Exchange"
"BIIB","Biogen Inc",276,"Nasdaq Global Select"
"JBL","Jabil Inc",32.91,"New York Stock Exchange"
"ACN","Accenture PLC",236.07,"New York Stock Exchange"
"NTR","Nutrien Ltd",37.68,"New York Stock Exchange"
"PAH","Platform Specialty Products Corporation",11.26,"New York Stock Exchange"
"BRFS","BRF S.A.",3.78,"New York Stock Exchange"
"SBUX","Starbucks Corp",86.27,"Nasdaq Global Select"
"EWU","iShares MSCI United Kingdom",26.16,"NYSE Arca"
"PE","Parsley Energy Inc",10.5,"New York Stock Exchange"
"LVS","Las Vegas Sands Corp",51.96,"New York Stock Exchange"
"EGO","Eldorado Gold Corp",10.94,"New York Stock Exchange"
"GSK","GlaxoSmithKline PLC",38.47,"New York Stock Exchange"
"TEVA","Teva Pharmaceutical Industries Limited American Depositary Shares",9.19,"New York Stock Exchange"
"PAA","Plains All American Pipeline LP",7.13,"New York Stock Exchange"
"SQQQ","ProShares UltraPro Short QQQ",23.58,"NASDAQ Global Market"
"VLO","Valero Energy Corp",51.22,"New York Stock Exchange"
